//Serial	Name of Hairstyle	Color	Required item0	Required Item 1	Required Item 2	Required Item 3	Required gold	Related Model	Hairstyle mold failed	Usable character1	Usable Character 2	Usable Character 3	Usable Character 4	Item list ID	model denominate
1	Hairdo 1	Red	1807,1	1808,1	1797,5	1806,1	100000	2009	1999	1	0	0	0	2009	0000090001
2	Hairdo 1	Orange	1807,1	1808,1	1798,5	1806,1	100000	2010	1999	1	0	0	0	2010	0000100001
3	Hairdo 1	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2000	1999	1	0	0	0	2000	0000000001
4	Hairdo 1	Cyan	1807,1	1808,1	1801,5	1806,1	100000	2011	1999	1	0	0	0	2011	0000110001
5	Hairdo 1	Green	1807,1	1808,1	1800,5	1806,1	100000	2012	1999	1	0	0	0	2012	0000120001
6	Hairdo 1	Blue	1807,1	1808,1	1802,5	1806,1	100000	2013	1999	1	0	0	0	2013	0000130001
7	Hairdo 1	Purple	1807,1	1808,1	1803,5	1806,1	100000	2014	1999	1	0	0	0	2014	0000140001
8	Hairdo 2	Red	1807,1	1808,1	1797,5	1804,1	100000	2001	1999	1	0	0	0	2001	0000010001
9	Hairdo 2	Orange	1807,1	1808,1	1798,5	1804,1	100000	2015	1999	1	0	0	0	2015	0000150001
10	Hairdo 2	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2016	1999	1	0	0	0	2016	0000160001
11	Hairdo 2	Cyan	1807,1	1808,1	1801,5	1804,1	100000	2017	1999	1	0	0	0	2017	0000170001
12	Hairdo 2	Green	1807,1	1808,1	1800,5	1804,1	100000	2018	1999	1	0	0	0	2018	0000180001
13	Hairdo 2	Blue	1807,1	1808,1	1802,5	1804,1	100000	2019	1999	1	0	0	0	2019	0000190001
14	Hairdo 2	Purple	1807,1	1808,1	1803,5	1804,1	100000	2020	1999	1	0	0	0	2020	0000200001
15	Hairdo 3	Red	1807,1	1808,1	1797,5	1805,1	100000	2021	1999	1	0	0	0	2021	0000210001
16	Hairdo 3	Orange	1807,1	1808,1	1798,5	1805,1	100000	2022	1999	1	0	0	0	2022	0000220001
17	Hairdo 3	Yellow	1807,1	1808,1	1799,5	1805,1	100000	2002	1999	1	0	0	0	2002	0000020001
18	Hairdo 3	Cyan	1807,1	1808,1	1801,5	1805,1	100000	2023	1999	1	0	0	0	2023	0000230001
19	Hairdo 3	Green	1807,1	1808,1	1800,5	1805,1	100000	2024	1999	1	0	0	0	2024	0000240001
20	Hairdo 3	Blue	1807,1	1808,1	1802,5	1805,1	100000	2025	1999	1	0	0	0	2025	0000250001
21	Hairdo 3	Purple	1807,1	1808,1	1803,5	1805,1	100000	2026	1999	1	0	0	0	2026	0000260001
22	Hairdo 4	Red	1807,1	1808,1	1797,5	1806,1	100000	2027	1999	1	0	0	0	2027	0000270001
23	Hairdo 4	Orange	1807,1	1808,1	1798,5	1806,1	100000	2028	1999	1	0	0	0	2028	0000280001
24	Hairdo 4	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2029	1999	1	0	0	0	2029	0000290001
25	Hairdo 4	Cyan	1807,1	1808,1	1801,5	1806,1	100000	2030	1999	1	0	0	0	2030	0000300001
26	Hairdo 4	Green	1807,1	1808,1	1800,5	1806,1	100000	2031	1999	1	0	0	0	2031	0000310001
27	Hairdo 4	Blue	1807,1	1808,1	1802,5	1806,1	100000	2003	1999	1	0	0	0	2003	0000030001
28	Hairdo 4	Purple	1807,1	1808,1	1803,5	1806,1	100000	2032	1999	1	0	0	0	2032	0000320001
29	Hairdo 5	White	1807,1	1808,1	4610,5	1804,1	100000	2004	1999	1	0	0	0	2004	0000040001
30	Hairdo 5	Red	1807,1	1808,1	1797,5	1804,1	100000	2033	1999	1	0	0	0	2033	0000330001
31	Hairdo 5	Orange	1807,1	1808,1	1798,5	1804,1	100000	2034	1999	1	0	0	0	2034	0000340001
32	Hairdo 5	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2035	1999	1	0	0	0	2035	0000350001
33	Hairdo 5	Cyan	1807,1	1808,1	1801,5	1804,1	100000	2036	1999	1	0	0	0	2036	0000360001
34	Hairdo 5	Green	1807,1	1808,1	1800,5	1804,1	100000	2037	1999	1	0	0	0	2037	0000370001
35	Hairdo 5	Blue	1807,1	1808,1	1802,5	1804,1	100000	2038	1999	1	0	0	0	2038	0000380001
36	Hairdo 5	Purple	1807,1	1808,1	1803,5	1804,1	100000	2039	1999	1	0	0	0	2039	0000390001
37	Hairdo 6	Black	1807,1	1808,1	4607,5	1805,1	100000	2005	1999	1	0	0	0	2005	0000050001
38	Hairdo 6	Red	1807,1	1808,1	1797,5	1805,1	100000	2040	1999	1	0	0	0	2040	0000400001
39	Hairdo 6	Orange	1807,1	1808,1	1798,5	1805,1	100000	2041	1999	1	0	0	0	2041	0000410001
