//ID   	名称	模型数量	模型	速度  	粒子数量      	Particle      	dummy	运动方式	Light	Result
10	连珠箭飞行元素	1	runningattack.eff	10	0	0	-1	2	0	0
11	Dispersion Bullet Path of Flight Element	1	04000002.eff	3	0	0	-1	6	0	0
12	Penetrating Bullet Path of Flight	1	04000003.eff	3	0	0	-1	5	0	0
13	Magma Bullet 飞行	2	04000004.eff,04000004(0).eff	10	0	0	-1	4	0	0
14	伊贺流刺盲术飞行	2	04000005.eff,04000005(0).eff	10	1	4000005	-1	0	0	0
15	伊贺流鬼毒牙飞行	1	04000005.eff,04000005(0).eff	10	0	0	-1	0	0	0
16	慧星强击飞行	1	04000007.eff	10	1	4000007	-1	0	0	0
17	Cripple 飞行	1	04000008.eff	10	1	4000008	-1	5	0	0
18	Illusion Slash Path of Flight	1	04000009.eff	15	0	0	-1	3	0	0
19	Numb Path of Flight	1	04000010.eff	10	1	4000010	-1	0	0	0
20	Frozen Arrow 飞行	2	icearrowf.eff,icearrowf(a).eff	10	1	icearrowf	-1	2	0	icearrowh
21	Spiritual Bolt 飞行	1	hpushf02.eff	10	0	0	-1	2	0	hpusht
22	Arrow	1	arrow.eff	3	0	0	-1	2	0	0
23	Ship	1	04000103.eff	3	0	0	-1	3	0	0
24	Octopus Ink	1	04000307.eff	3	0	0	-1	2	0	0
25	连珠箭飞行元素	1	runningattack2.eff	10	0	0	-1	2	0	0
26	连珠箭飞行元素2	1	runningattack3.eff	10	0	0	-1	2	0	0
27	Saliva of Lizard	1	04000308.eff	3	0	0	-1	2	0	0
28	Treant Effect	1	stone.eff	3	0	0	-1	2	0	0
29	飞熊猫特效	1	04000314.eff	3	0	0	-1	2	0	0
30	Pearl 特效	1	04000317.eff	3	0	0	-1	2	0	0
31	地精长老特效	1	04000315.eff	3	0	0	-1	2	0	0
32	水精灵特效	1	04000316.eff	3	0	0	-1	2	0	0
33	小冰龙特效	1	04000310.eff	3	0	0	-1	2	0	0
34	大冰龙特效	1	04000310.eff	3	0	0	-1	2	0	0
35	射水贝特效	1	04000312.eff	3	0	0	-1	2	0	0
36	暗影箭特效	1	04000318.eff	3	0	0	-1	2	0	1030006
37	Spiritual Bolt 飞行	1	hpushf03.eff	10	0	0	-1	2	0	hpusht
38	Spiritual Bolt 飞行2	1	hpushf04.eff	10	0	0	-1	2	0	hpusht
39	毒标飞行	1	poisonfly.eff	10	0	0	-1	2	0	0
40	Mud Path of Flight	1	04000322.eff	10	0	0	-1	2	0	1010515
41	酋长火球飞行	1	04000321.eff	10	1	4000321	-1	2	0	1060007
42	狼人弓箭飞行	1	04000325.eff	10	0	0	-1	2	0	1030006
43	巨蜗牛火箭飞行	1	04000324.eff	10	0	0	-1	2	0	1060007
44	国王企鹅冰块飞行	1	04000310.eff	10	1	4000310	-1	2	0	1010507
45	Dart of Ninja Mole Path of Flight	1	04000319.eff	10	0	0	-1	2	0	1030006
46	美人鱼桃心飞行	1	04000320(a).eff	10	1	4000320	-1	2	0	1010518
47	舞水飞行	1	04000320(a).eff	10	1	4000323	-1	2	0	shuihua01
48	Mud of Mudman	1	04000322.eff	10	0	0	-1	2	0	1010515
